County,Month,Excess
Albany,January,3.072732253
Albany,February,5.436643923
Albany,March,7.743715169
Albany,April,17.06025532
Albany,May,18.36411609
Albany,June,16.7032881
Albany,July,19.1408877
Albany,August,23.52733981
Albany,September,29.92134984
Albany,October,34.32281668
Big Horn,January,0.112877303
Big Horn,February,-3.022971016
Big Horn,March,-3.204939084
Big Horn,April,-1.265355697
Big Horn,May,-6.407445281
Big Horn,June,-7.617369239
Big Horn,July,-2.73548162
Big Horn,August,-6.977884668
Big Horn,September,-9.2640143
Big Horn,October,-6.905902599
Campbell,January,19.95333326
Campbell,February,33.18473474
Campbell,March,41.17562089
Campbell,April,53.75877328
Campbell,May,62.8851825
Campbell,June,81.07912603
Campbell,July,97.55125995
Campbell,August,108.7216931
Campbell,September,118.916193
Campbell,October,140.4959278
Carbon,January,-9.413539745
Carbon,February,-20.70329849
Carbon,March,-19.922465
Carbon,April,-28.77964255
Carbon,May,-42.76275775
Carbon,June,-49.04040259
Carbon,July,-58.28257707
Carbon,August,-70.51246217
Carbon,September,-78.7199416
Carbon,October,-91.04812108
Converse,January,-1.59859382
Converse,February,-8.037011316
Converse,March,-7.867483705
Converse,April,-4.20423014
Converse,May,-6.033850715
Converse,June,-3.632269626
Converse,July,2.840131531
Converse,August,6.072515074
Converse,September,6.826541142
Converse,October,10.49400703
Crook,January,1.012437895
Crook,February,0.028250683
Crook,March,-0.979519254
Crook,April,0.083498075
Crook,May,4.098964337
Crook,June,2.161766213
Crook,July,5.17723394
Crook,August,14.48032372
Crook,September,16.53122032
Crook,October,23.59368272
Fremont,January,3.672775867
Fremont,February,5.410918886
Fremont,March,10.31227278
Fremont,April,11.14565967
Fremont,May,18.81470364
Fremont,June,12.62375702
Fremont,July,14.36942408
Fremont,August,26.54220854
Fremont,September,28.24214033
Fremont,October,33.96760542
Goshen,January,3.85266394
Goshen,February,8.969340852
Goshen,March,9.755297147
Goshen,April,11.3576783
Goshen,May,10.08886611
Goshen,June,11.37719843
Goshen,July,13.21593536
Goshen,August,15.52564647
Goshen,September,14.54802237
Goshen,October,22.87618798
Hot Springs,January,4.992955591
Hot Springs,February,5.620374749
Hot Springs,March,2.886695094
Hot Springs,April,0.736817204
Hot Springs,May,1.440580587
Hot Springs,June,4.327051187
Hot Springs,July,4.861755247
Hot Springs,August,5.746427101
Hot Springs,September,5.266360489
Hot Springs,October,5.321762383
Johnson,January,3.83986923
Johnson,February,4.055293301
Johnson,March,5.788724613
Johnson,April,3.316317182
Johnson,May,-1.861842264
Johnson,June,-4.160480591
Johnson,July,-3.941404587
Johnson,August,2.284893926
Johnson,September,3.527403193
Johnson,October,-1.252757839
Laramie,January,12.50322894
Laramie,February,2.858324538
Laramie,March,-17.37681461
Laramie,April,-16.91094499
Laramie,May,-20.62281822
Laramie,June,-25.53529585
Laramie,July,-31.10691226
Laramie,August,-23.44247626
Laramie,September,-29.81058849
Laramie,October,-17.72036272
Lincoln,January,-1.424187348
Lincoln,February,-3.419840887
Lincoln,March,-8.56988605
Lincoln,April,-4.777544814
Lincoln,May,-2.064176322
Lincoln,June,3.506118003
Lincoln,July,10.28051416
Lincoln,August,4.768881439
Lincoln,September,9.63068088
Lincoln,October,12.91936939
Natrona,January,23.55883872
Natrona,February,42.86478266
Natrona,March,36.7327697
Natrona,April,37.88640938
Natrona,May,25.05989011
Natrona,June,32.87287622
Natrona,July,23.37967402
Natrona,August,35.05271091
Natrona,September,67.69619818
Natrona,October,84.05382496
Niobrara,January,-1.133450524
Niobrara,February,0.447819836
Niobrara,March,2.305272332
Niobrara,April,2.859143476
Niobrara,May,1.719321326
Niobrara,June,1.007039964
Niobrara,July,3.026748458
Niobrara,August,4.303034562
Niobrara,September,2.23715967
Niobrara,October,3.90322419
Park,January,5.734070058
Park,February,-2.748015234
Park,March,-2.687923119
Park,April,-2.368441743
Park,May,-0.347028695
Park,June,4.064239669
Park,July,11.32396462
Park,August,11.25824885
Park,September,19.94144283
Park,October,25.41535299
Platte,January,-0.89377324
Platte,February,-2.921029929
Platte,March,-4.389214191
Platte,April,1.780365104
Platte,May,2.021250178
Platte,June,0.681383494
Platte,July,-0.62581793
Platte,August,2.860543338
Platte,September,3.464211987
Platte,October,5.40711159
Sheridan,January,-1.305003477
Sheridan,February,-5.684970273
Sheridan,March,-2.927488916
Sheridan,April,-5.32329619
Sheridan,May,-7.750653217
Sheridan,June,-16.43233416
Sheridan,July,-10.86850645
Sheridan,August,-6.296239311
Sheridan,September,-8.723896642
Sheridan,October,-6.392854859
Sublette,January,-0.71791169
Sublette,February,-0.675099216
Sublette,March,-3.075595933
Sublette,April,-6.549038361
Sublette,May,-5.15264635
Sublette,June,-4.808840812
Sublette,July,-3.473220852
Sublette,August,-3.113560628
Sublette,September,-2.863850585
Sublette,October,-2.279597871
Sweetwater,January,2.518733723
Sweetwater,February,8.986981671
Sweetwater,March,19.01860853
Sweetwater,April,22.26676787
Sweetwater,May,27.23523648
Sweetwater,June,35.20570012
Sweetwater,July,40.04079438
Sweetwater,August,49.82449963
Sweetwater,September,59.08418971
Sweetwater,October,65.1064518
Teton,January,-2.512118713
Teton,February,-5.109196916
Teton,March,-1.660327628
Teton,April,-5.142700524
Teton,May,-9.464009061
Teton,June,-11.81711857
Teton,July,-11.07129985
Teton,August,-12.51633308
Teton,September,-7.721759248
Teton,October,-8.997545655
Uinta,January,6.631822446
Uinta,February,3.62465402
Uinta,March,7.250430182
Uinta,April,14.70988365
Uinta,May,22.31748203
Uinta,June,20.74581941
Uinta,July,25.37681902
Uinta,August,26.83610036
Uinta,September,30.20087159
Uinta,October,23.63768876
Washakie,January,-1.766363656
Washakie,February,0.728624137
Washakie,March,1.074352429
Washakie,April,6.102492956
Washakie,May,7.372727103
Washakie,June,12.58114776
Washakie,July,9.761400674
Washakie,August,7.165555742
Washakie,September,3.924182833
Washakie,October,4.05349056
Weston,January,1.647193332
Weston,February,5.138624404
Weston,March,9.689264387
Weston,April,8.378584064
Weston,May,8.81964843
Weston,June,7.225006218
Weston,July,8.860107768
Weston,August,8.074994394
Weston,September,13.53460292
Weston,October,15.08681809
