Albany,Big Horn,Campbell,Carbon,Converse,Crook,Fremont,Goshen,Hot Springs,Johnson,Laramie,Lincoln,Natrona,Niobrara,Park,Platte,Sheridan,Sublette,Sweetwater,Teton,Uinta,Washakie,Weston
20,4,21,8,6,1,32,8,3,16,94,5,76,1,27,6,29,7,26,12,12,13,6
7,12,30,10,10,8,28,12,10,7,67,10,70,0,16,7,19,2,15,5,11,4,2
16,6,33,9,3,2,27,10,7,9,85,10,78,5,28,10,31,3,15,5,10,6,8
20,9,25,10,8,1,35,7,11,7,84,6,67,6,13,5,25,3,17,5,6,5,3
11,5,17,4,9,3,19,6,2,5,59,13,82,3,20,5,38,2,14,6,12,6,3
16,7,18,10,5,1,28,10,3,9,81,8,74,2,19,7,17,4,19,9,12,6,4
15,13,17,9,8,0,26,9,5,6,80,15,72,2,24,7,19,5,25,13,8,9,3
13,6,17,15,8,5,21,12,4,8,68,9,79,3,17,9,27,7,18,14,9,7,2
13,9,13,6,3,2,27,8,7,9,59,9,75,3,23,3,25,4,13,12,7,6,5
12,9,15,5,4,1,36,8,5,7,75,7,61,1,17,5,24,4,21,8,10,5,3
8,12,25,11,11,4,32,11,9,6,65,5,74,5,15,3,26,2,27,6,14,4,4
10,7,20,2,13,4,28,4,5,11,70,9,86,3,30,4,24,2,23,5,7,3,5
20,4,18,13,7,3,35,14,6,5,70,8,76,0,24,1,18,5,18,14,6,1,6
8,1,18,8,8,0,33,8,4,9,81,11,70,3,22,3,34,2,17,9,12,5,6
13,11,16,10,7,4,26,11,5,12,81,9,63,3,25,2,26,2,25,7,13,8,4
13,11,10,9,6,3,28,13,7,7,56,10,60,1,20,7,25,2,23,6,7,8,3
24,7,13,17,4,5,25,6,7,5,72,7,57,1,16,11,31,7,20,11,16,3,4
20,10,26,9,10,3,26,9,6,2,61,10,80,4,23,7,26,5,30,9,7,9,3
23,4,11,10,4,6,19,9,5,8,64,7,67,2,27,5,23,3,22,11,7,8,2
14,9,25,12,4,6,25,7,2,6,84,8,65,1,17,6,34,2,25,11,15,4,4
9,10,18,8,4,3,25,10,3,2,59,9,54,3,25,7,21,3,13,4,6,5,3
12,9,12,10,4,5,24,7,5,7,62,14,73,3,19,5,30,0,25,8,8,7,1
12,9,16,13,12,5,27,8,3,7,62,7,75,3,17,3,27,3,23,6,4,4,5
14,11,15,14,11,3,27,12,3,14,80,11,64,0,18,7,33,2,20,6,11,7,1
13,11,22,12,6,1,24,6,6,3,62,9,90,1,21,5,29,4,20,5,8,11,6
12,11,16,16,7,3,35,7,5,10,60,6,64,3,27,8,20,3,25,5,7,6,4
23,8,20,12,8,3,24,7,2,6,85,10,79,3,18,5,32,4,11,8,16,2,4
18,12,16,10,7,4,32,10,5,9,65,10,78,0,21,2,21,4,18,4,10,6,7
15,9,22,7,6,2,24,8,5,5,69,7,74,2,24,11,33,2,16,8,12,5,6
6,8,15,13,9,5,35,5,6,8,57,3,72,2,21,0,16,7,23,6,13,3,2
18,4,26,9,8,4,19,9,8,10,65,7,49,3,23,6,22,3,26,4,6,10,5
15,14,15,9,7,8,33,6,7,5,54,8,66,1,23,9,27,1,29,11,6,6,2
10,9,12,7,7,5,41,5,6,6,64,14,68,2,19,2,15,6,24,5,10,0,2
16,16,24,10,10,2,19,8,4,9,69,13,72,2,13,5,22,4,22,6,18,6,2
21,5,17,15,7,4,32,7,7,10,79,11,71,1,21,5,25,0,19,6,3,5,6
15,9,20,14,12,2,26,16,4,7,74,7,69,0,24,5,27,2,26,6,12,1,1
15,13,22,12,7,2,26,11,2,4,82,11,91,1,21,7,35,6,25,5,11,11,7
10,8,22,9,7,5,25,8,3,7,70,9,66,2,21,9,26,2,27,13,10,2,4
20,8,16,10,7,5,38,14,6,10,75,14,89,1,20,4,31,6,20,4,7,6,4
16,8,24,8,9,5,23,10,2,6,71,5,67,0,17,4,29,6,21,4,11,6,8
19,9,13,5,6,2,31,12,6,4,72,5,76,1,21,9,23,6,27,6,10,6,3
17,3,27,11,7,9,22,4,2,7,61,11,61,2,14,5,29,3,18,9,8,5,3
15,10,18,7,5,7,36,13,9,15,63,12,67,6,20,10,34,7,25,8,6,3,3
20,8,18,5,12,7,24,8,4,7,65,4,61,1,25,8,33,11,22,7,10,5,3
15,7,15,7,11,2,35,12,7,7,78,9,59,1,21,13,28,2,20,10,11,13,6
16,12,26,7,11,5,28,5,5,9,88,7,72,2,17,5,23,3,18,4,9,5,3
21,8,22,5,8,8,37,15,8,12,66,14,79,3,26,10,25,4,23,7,6,4,4
23,10,25,10,9,4,20,10,9,10,87,14,82,1,32,10,22,7,21,5,11,6,8
16,17,24,6,8,2,22,10,2,6,91,17,76,3,19,7,31,7,14,10,14,4,2
17,6,25,8,6,4,25,7,6,5,78,11,59,0,21,1,22,5,15,5,13,6,2
15,11,31,6,10,5,37,6,10,10,83,13,101,3,25,5,18,6,17,10,14,5,4
13,8,20,5,5,3,29,2,4,7,90,4,46,0,25,7,22,2,16,10,11,8,6
15,14,27,9,10,4,21,11,6,6,67,11,93,3,17,4,26,7,35,12,13,4,3
16,12,23,11,8,3,36,7,2,6,69,5,58,1,21,6,15,3,21,12,10,9,4
12,8,17,15,7,4,30,12,9,4,70,12,77,2,22,6,26,2,13,12,14,5,4
19,12,18,13,9,6,28,10,4,4,46,6,67,1,19,10,26,5,21,9,11,4,4
17,11,23,13,4,2,24,10,8,5,83,8,74,2,26,7,26,5,30,10,12,6,4
20,9,19,16,5,3,30,12,1,3,74,20,70,2,24,3,17,4,33,15,10,8,5
14,12,13,10,7,9,36,12,7,7,75,18,87,1,23,8,22,1,20,8,6,6,3
20,11,27,9,14,0,24,16,7,5,94,6,78,2,19,6,30,4,28,8,12,5,3
