,Albany,Big Horn,Campbell,Carbon,Converse,Crook,Fremont,Goshen,Hot Springs,Johnson,Laramie,Lincoln,Natrona,Niobrara,Park,Platte,Sheridan,Sublette,Sweetwater,Teton,Uinta,Washakie,Weston
January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
April,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
May,0,0,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0
June,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
July,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0
August,0,1,0,1,0,0,3,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0
September,0,1,0,0,0,0,1,1,0,0,0,1,3,0,2,0,3,0,0,0,0,1,0
October,5,5,2,0,1,1,2,1,0,1,3,2,6,0,1,1,1,0,0,0,1,1,0
